,"('metrics.roc-auc_mse', 'mean')","('metrics.roc-auc_mse', 'std')","('metrics.roc-auc_mse_top_k', 'mean')","('metrics.roc-auc_mse_top_k', 'std')",params.pipeline,params.data_source,model,"('metrics.roc-auc_mse_kld', 'mean')","('metrics.roc-auc_mse_kld', 'std')","('metrics.roc-auc_kld', 'mean')","('metrics.roc-auc_kld', 'std')","('metrics.roc-auc_l1_top_k', 'mean')","('metrics.roc-auc_l1_top_k', 'std')","('metrics.roc-auc_l1', 'mean')","('metrics.roc-auc_l1', 'std')","('metrics.roc-auc_l1_kld', 'mean')","('metrics.roc-auc_l1_kld', 'std')","('metrics.roc-auc_proba', 'mean')","('metrics.roc-auc_proba', 'std')","('metrics.roc-auc_proba_coproba', 'mean')","('metrics.roc-auc_proba_coproba', 'std')","('metrics.roc-auc_coproba', 'mean')","('metrics.roc-auc_coproba', 'std')"
0,0.46571044562528957,0.022398715597743774,0.48588208047975456,0.015268078980940392,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND_CROPPED,cae,,,,,,,,,,,,,,,,
1,0.5099877675145864,0.021171817152361466,0.4731185951931238,0.018062924027806102,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND_CROPPED,cae,,,,,,,,,,,,,,,,
2,0.5038711497631825,0.03353837536924623,0.4483125468591212,0.02510196638256094,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND,cae,,,,,,,,,,,,,,,,
3,0.5700197927931938,0.01851781888311723,0.5534481086095411,0.022758724896797835,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND_PHOTOSHOP,cae,,,,,,,,,,,,,,,,
4,0.459824971807669,0.03318546150274313,0.46552044835129647,0.01318375561604002,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND,cae,,,,,,,,,,,,,,,,
5,0.5005697901639904,0.013250948277838279,0.5057361518033002,0.0392427136366694,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND_PHOTOSHOP,cae,,,,,,,,,,,,,,,,
0,0.5063367899423701,0.008439660452475352,0.4543848480389523,0.012550172405776189,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False}",XR_HAND_PHOTOSHOP,bae,,,,,,,,,,,,,,,,
1,0.46189486212572545,0.019299800227740107,0.44104404132668523,0.010932320173504618,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False}",XR_HAND,bae,,,,,,,,,,,,,,,,
2,0.5599025340377044,0.025620432317504955,0.5162161237817215,0.019336143692190912,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False}",XR_HAND_PHOTOSHOP,bae,,,,,,,,,,,,,,,,
3,0.47285054361731516,0.01786874534236124,0.4550717608718318,0.016610077670469216,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False}",XR_HAND,bae,,,,,,,,,,,,,,,,
4,0.4802137552192727,0.01417479007940852,0.4513292025209743,0.00941656977332309,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False}",XR_HAND_CROPPED,bae,,,,,,,,,,,,,,,,
5,0.4606506441936643,0.020062626092157813,0.4455083016552859,0.012705350297250438,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False}",XR_HAND_CROPPED,bae,,,,,,,,,,,,,,,,
0,0.4321509282182394,0.03307648298125774,0.43826919139335374,0.01705205347829003,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND,vae,0.43219026928870574,0.03313474343741614,0.4882345907508765,0.03114188628984163,0.43826919139335374,0.01705205347829003,0.4321509282182394,0.03307648298125774,0.4321955901146089,0.033162794575115465,,,,,,
1,0.43511659039713896,0.013975097509410022,0.42811863491560065,0.012869118388620319,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND_PHOTOSHOP,vae,0.43584928481853547,0.013202696642285811,0.5202298416060619,0.025909732926739166,0.42811863491560065,0.012869118388620319,0.43511659039713896,0.013975097509410022,0.4382899612743073,0.011086456689532061,,,,,,
